"Input";"Coordinates"
"Singapore Pusara Aman Muslim Cemetery";"1.3728498,103.69434100000001"
"Singapore Lim Chu Kang Chinese Cemetery";"1.3815149,103.69576729999994"
"Singapore NTU Graduate Hall";"1.3554955,103.68686939999998"
"Singapore Masjid Pusara Aman";"1.3728498,103.69434100000001"
"Singapore Nirvana Memorial Garden Singapore";"1.370619,103.68809299999998"
"Singapore SCDF Jalan Bahar";"1.366577,103.69212300000004"
"Singapore Choa Chu Kang Cemetery";"1.379829,103.68902300000002"
"Singapore Quan Fa Organic Farm";"1.3861586,103.69541219999996"
"Singapore Pusara Abadi Muslim Cemetery";"1.3825178,103.69533960000001"
"Singapore Ntu Graduate Hall 2";"1.355559,103.6857"
"Singapore Garden of Remembrance";"1.374415,103.69251299999996"
"Singapore NTU North Hill";"1.3538538,103.68789259999994"
"Singapore Hall of Residence 11, NTU";"1.3550279,103.6864405"
"Singapore Pusara Aman Mosque";"1.3728498,103.69434100000001"
"Singapore Graduate Hall";"1.3554955,103.68686939999998"
"Singapore Nirvana Memorial Garden Singapore/????(???)/Premium Columbarium";"1.370619,103.68809299999998"
"Singapore Choa Chu Kang Christian Cemetery";"1.3743846,103.6937107"
" ERROR! Input:Singapore NSTI/CDA"
"Singapore NIE/NTU";"1.3488363,103.68091129999993"
"Singapore Pusara Aman @ Lim Chu Kang Road";"1.3728498,103.69434100000001"
"Singapore Chua Chu Kang Muslim Cemetery";"1.3825178,103.69533960000001"
"Singapore Nirvana Memorial Garden Pte Ltd";"1.370619,103.68809299999998"
"Singapore Muslim Cemetry N-1-3";"1.3045947,103.85855850000007"
"Singapore Pusara Aman";"1.3728498,103.69434100000001"
"Singapore Choa Chu Kang Cemetery";"1.379829,103.68902300000002"
"Singapore NTU Banyan Hall";"1.3542225,103.68845839999994"
"Singapore Lim Chu Kang Camp II";"1.3752732,103.69685290000007"
"Singapore Lim Chu Kang Muslim Cemetery";"1.3825178,103.69533960000001"
"Singapore NTU Hall of Residence 11 Blk 53";"1.3550279,103.6864405"
"Singapore Nirvana Memorial Garden - Singapore";"1.370619,103.68809299999998"
"Singapore Pusara Aman - Lim Chu Kang Muslim Cemetary";"1.3728498,103.69434100000001"
"Singapore Koon Lee Nursery";"1.385422,103.69633880000004"
"Singapore Lim Chu Kang Cemetery";"1.3815149,103.69576729999994"
"Singapore Choa Chu Kang Muslim Cemetry";"1.3825178,103.69533960000001"
"Singapore nirvana memorial gaeden ???????";"1.370619,103.68809299999998"
"Singapore CCK Christian Cemetry Lawn";"1.379829,103.68902300000002"
"Singapore Hall XI";"1.3550279,103.6864405"
"Singapore CDA Furnace";"1.366577,103.69212300000004"
"Singapore Lim Chu Kang Christian Cemetery Path 7";"1.3743846,103.6937107"
"Singapore ????";"1.352083,103.81983600000001"
"Singapore Nirvana Memorial Garden";"1.370619,103.68809299999998"
"Singapore Dpusara Cafe";"1.3728498,103.69434100000001"
"Singapore Jalan Basar";"1.3085592,103.85733690000006"
" ERROR! Input:Singapore SCDF Special Rescue Battalion"
"Singapore MT Line";"1.4208024,103.82948310000006"
"Singapore Muslim Cemetery";"1.3045947,103.85855850000007"
"Singapore Pusara Abadi";"1.3728498,103.69434100000001"
"Singapore National Shooting Centre";"1.3723826,103.68369630000007"
"Singapore Pusara Abadi Muslim Cemetary";"1.3825178,103.69533960000001"
"Singapore Pusara Abadi Muslim Cementery";"1.3825178,103.69533960000001"
"Singapore Singapore Gun Club";"1.3726984,103.68407879999995"
"Singapore N-1-4, Muslim Cemetery Pusara Abadi.";"1.3825178,103.69533960000001"
"Singapore N-1-10 Muslim Cemetery";"1.3825178,103.69533960000001"
"Singapore Chua Chu Kang Columbarium";"1.3744655,103.68654560000004"
"Singapore Choa Chu Kang Columbarium";"1.3744655,103.68654560000004"
"Singapore N-1-20 Muslim Cemetery";"1.3825178,103.69533960000001"
"Singapore Murai Urban Training Facilities";"1.3935686,103.69268169999998"
"Singapore MUTF";"1.3935686,103.69268169999998"
"Singapore Choa Chu Kang Columbarium";"1.3744655,103.68654560000004"
"Singapore Choa Chu Kang Chinese Cemetery";"1.3744655,103.68654560000004"
"Singapore Chinese Cemetery";"1.3761533,103.72638259999997"
"Singapore Muslim Cemetery N-1-13";"1.3825178,103.69533960000001"
"Singapore Old Chua Chu Kang Road";"1.3717863,103.70532109999999"
"Singapore Lim Chu Kang Chinese  Cemetery Path 21";"1.3744655,103.68654560000004"
"Singapore Singapore Rifle Association";"1.3727587,103.68417980000004"
"Singapore Lim Chu Kang Chinese Cemetry Path 14";"1.3826375,103.69268869999996"
"Singapore Temple Hill";"1.3771146,103.76173889999995"
"Singapore Pusara Abadi @ Lim Chu Kang (N-1-3)";"1.3825178,103.69533960000001"
"Singapore Pusara Abadi N-1-13";"1.3849778,103.69119920000003"
"Singapore Chua Chu Kang Chinese Cemetery Path 11";"1.379829,103.68902300000002"
"Singapore Singapore Shooting Centre";"1.3723826,103.68369630000007"
"Singapore Muslim Cemetery Path 20";"1.3832206,103.69270140000003"
"Singapore Muslim Cemetry N1-10";"1.3825178,103.69533960000001"
"Singapore Murai";"1.4002778,103.67361110000002"
"Singapore Lim Chu Kang Chinese Cemetery Path 36";"1.3823893,103.69525139999996"
"Singapore Blk N-1-13";"1.2996819,103.85566119999999"
"Singapore N-1-20";"1.4306034,103.82723710000005"
"Singapore Pusara Aman &amp";"1.3728498,103.69434100000001"
" Abadi";"40.7621749,-73.97286150000002"
"Singapore Chinese Cemetery Path 38";"1.3750261,103.69213330000002"
"Singapore Pusara Abadi Blk 429";"1.3728498,103.69434100000001"
"Singapore National Shooting Centre ( Range B )";"1.3723826,103.68369630000007"
"Singapore Poyan Range";"1.3777778,103.66333329999998"
"Singapore Chua Chu Kang Cemetery";"1.379829,103.68902300000002"
"Singapore Pusara Abadi Blk 24";"1.3849778,103.69119920000003"
"Singapore N110 Pusara Abadi Malay Cemetary";"1.3825178,103.69533960000001"
" ERROR! Input:Singapore Fibua @ Mutf"
"Singapore Muslim Cemetery Path 21";"1.3874205,103.69050549999997"
"Singapore Lim Chu Kang Chinese Cemetry Path 18";"1.3826375,103.69268869999996"
"Singapore Muslim Cemetery North St 8";"1.3045947,103.85855850000007"
"Singapore Columbarium @ Lim Chu Kang";"1.3744655,103.68654560000004"
"Singapore N-1-3";"1.4306034,103.82723710000005"
"Singapore Muslim Cemetery Blk 429";"1.3045947,103.85855850000007"
"Singapore Muslim Cemetery Path 19";"1.3861917,103.69117559999995"
"Singapore Universal Studios Singapore";"1.2540421,103.82380839999996"
"Singapore VivoCity";"1.264241,103.82232699999997"
"Singapore S.E.A. Aquarium, Marine Life Park";"1.2587386,103.81864519999999"
"Singapore SEA Aquarium @ Resort World, Sentosa";"1.258305,103.82047"
"Singapore Resorts World at Sentosa";"1.255179,103.82181070000001"
"Singapore Universal Studio Singapore (USS) by ResortsWorld  @ Sentosa Island SGP";"1.255179,103.82181070000001"
"Singapore Trick Eye Museum Singapore";"1.257681,103.82222290000004"
"Singapore ViVo City, Harbour Front, Singapore";"1.264241,103.82232699999997"
"Singapore Universal Studio Singapore";"1.2540421,103.82380839999996"
"Singapore Priv� @ Keppel Bay";"1.264002,103.81250899999998"
"Singapore Adventure Cove Waterpark, Resorts World Sentosa";"1.2580721,103.82071930000006"
"Singapore HarbourFront Centre";"1.264325,103.82030600000007"
"Singapore Sentosa Boardwalk";"1.2632194,103.82363959999998"
"Singapore Equarius Hotel, Sentosa";"1.257759,103.816821"
"Singapore HarbourFront Ferry Terminal";"1.2621119,103.8179189"
"Singapore Sentosa - Universal Studio Singapore";"1.2540421,103.82380839999996"
"Singapore Halloween Horror Night at Universal Studio";"1.2540421,103.82380839999996"
"Singapore Jamies Italian Singapore";"1.2634178,103.82126570000003"
"Singapore Candylicious @ Resorts World Sentosa";"1.25665,103.82038799999998"
"Singapore Hard Rock Cafe Sentosa";"1.257301,103.82007799999997"
"Singapore TRANSFORMERS The Ride: The Ultimate 3D Battle - Universal Studios Singapore";"1.2540421,103.82380839999996"
"Singapore Max Brenner Chocolate Bar";"1.305511,103.90462200000002"
"Singapore Reflections at Keppel Bay, Singapore";"1.2681925,103.81445719999999"
"Singapore S.E.A. Aquarium @ Sentosa";"1.258305,103.82047"
"Singapore Golden Village at VivoCity";"1.2646785,103.8230969"
"Singapore Faber Peak Singapore";"1.2713286,103.81946560000006"
"Singapore Universal Studios Singapore";"1.2540421,103.82380839999996"
"Singapore Festive Hotel, Resorts World Sentosa";"1.256294,103.818985"
"Singapore The Coliseum";"1.2574258,103.81983630000002"
"Singapore Adventure Cove Waterpark @ RWS";"1.2580721,103.82071930000006"
"Singapore Halloween Horrors @ USS";"34.1377506,-118.35547959999997"
"Singapore Singapore Cable Car";"1.2711414,103.81960600000002"
"Singapore VivoCity, Harbourfront";"1.264241,103.82232699999997"
"Singapore Adventure Cove Waterpark Sentosa";"1.2580721,103.82071930000006"
"Singapore Marine Life Park";"1.2587386,103.81864519999999"
"Singapore Jamies Italian";"1.2634178,103.82126570000003"
"Singapore Universal Studios Singapore";"1.2540421,103.82380839999996"
"Singapore Star Cruise Gemini";"1.2732586,103.84243760000004"
"Singapore March�";"1.3037062,103.8611869"
"Singapore Sentosa S.E.A Aquarium";"1.258305,103.82047"
" ERROR! Input:Singapore Far Far Away..."
"Singapore Far Far Away Castle Universal Studios";"1.2540421,103.82380839999996"
"Singapore Universal Studios Singapura";"1.2540421,103.82380839999996"
"Singapore Ocean Restaurant by Cat Cora";"1.25816,103.81792300000006"
"Singapore HardRock Hotel @ Resorts World Sentosa";"1.2577913,103.8189046"
"Singapore Seah Im Food Centre";"1.2666157,103.81914329999995"
"Singapore Resorts World Theatre";"1.2563293,103.81963359999997"
"Singapore ???????";"1.352083,103.81983600000001"
"Singapore Wimbly Lu Chocolates";"1.3473729,103.8675465"
"Singapore The Cajun Kings";"1.3473062,103.86759699999993"
"Singapore Nanyang Junior College";"1.3502911,103.86650800000007"
"Singapore Rokeby Bistro";"1.3472129,103.86786099999995"
"Singapore Universal Studios Singapore@Resorts World Sentosa";"1.2540421,103.82380839999996"
"Singapore Rokeby";"1.3472129,103.86786099999995"
"Singapore La Pizzaiola";"1.3473067,103.8677553"
"Singapore Nanyang Junior College";"1.3502911,103.86650800000007"
"Singapore Wimbly Lu";"1.3473729,103.8675465"
"Singapore Siam Society";"1.3474561,103.867483"
"Singapore The Fat Cat";"1.3284966,103.93065609999996"
"Singapore Chiltern Park";"1.3507254,103.8648015"
"Singapore The Springbloom";"1.3508676,103.8637741"
"Singapore 151 Lorong Chuan New Tech Park";"1.3517311,103.86153409999997"
"Singapore Chij-Our Lady of Good Counsel";"1.357391,103.8637708"
"Singapore New Tech Park";"1.3517311,103.86153409999997"
"Singapore Chuan Park";"1.3529749,103.86464320000005"
"Singapore Serangoon Avenue 3";"1.3514992,103.86816769999996"
"Singapore Amaranda Gardens";"1.3494032,103.86673799999994"
"Singapore The Scala Condominium";"1.3508312,103.86534170000004"
"Singapore Bethesda Church Bukit Arang";"1.3494423,103.86766779999994"
"Singapore Golden Hill Park Condominium";"1.352872,103.86231299999997"
"Singapore Zhonghua Secondary School";"1.3494016,103.86925040000006"
"Singapore The Scala Singapore";"1.3508312,103.86534170000004"
"Singapore Lorong chuan, Chuan Park";"1.3529749,103.86464320000005"
" ERROR! Input:Singapore MTV Asia LDC"
"Singapore Lorong Chuan MRT Station";"1.3515697,103.86387420000005"
"Singapore St Gabriels Primary School";"1.3493505,103.86229709999998"
"Singapore Santosa Beach - Singapore";"1.2482777,103.82253739999999"
"Singapore Serangoon Gardens Singapore";"1.3637315,103.8662415"
"Singapore Cardiff residences";"1.3550779,103.86587559999998"
"Singapore River Hongbao";"1.288153,103.85902799999997"
"Singapore Nanyang JC";"1.3502911,103.86650800000007"
"Singapore Yangzheng Primary School";"1.3488247,103.86832249999998"
"Singapore Cardiff Grove";"1.3568218,103.86615460000007"
" ERROR! Input:Singapore Mtv Asia HQ"
"Singapore Chuan Park Condo.";"1.3529749,103.86464320000005"
"Singapore Wolskel Road";"1.3471319,103.86905060000004"
"Singapore Serangoon Avenue 2";"1.3518673,103.8690742"
"Singapore Goldenhill Park Condominium";"1.352872,103.86231299999997"
"Singapore Wimbly Lu Chocolate Cafe";"1.3473729,103.8675465"
"Singapore Bishan MRT";"1.3507054,103.84816180000007"
"Singapore Okinawa Japan";"1.2917346,103.84457399999997"
"Singapore Jai Jai Takeout";"1.298685,103.84594649999997"
"Singapore OMG";"1.302148,103.85835889999998"
"Singapore Amaranda Gardens Condominium";"1.3494032,103.86673799999994"
"Singapore Lenovo";"1.2992566,103.85504730000002"
" ERROR! Input:Singapore Fox International Channels"
"Singapore Pulau Tekong BMTC HQ";"1.4073389,104.02915689999998"
"Singapore BMTC Pulau Tekong";"1.4073389,104.02915689999998"
"Singapore Basic Military Training Centre";"1.4073389,104.02915689999998"
"Singapore Pulau Tekong, Singapore";"1.4142719,104.03867289999994"
"Singapore Tekong Ferry Terminal";"1.3877599,103.99970580000002"
"Singapore Pulau Tekong BMTC";"1.4073389,104.02915689999998"
"Singapore Resort world Tekong";"1.2540421,103.82380839999996"
"Singapore Pulau Tekong - Tekong Ferry Terminal";"1.4142719,104.03867289999994"
"Singapore BMTC, Tekong Island";"1.4073389,104.02915689999998"
" ERROR! Input:Singapore Pulau Tekong Parade Square"
"Singapore Palau Tekong";"1.4142719,104.03867289999994"
"Singapore Pulau Tekong Cookhouse";"1.4142719,104.03867289999994"
"Singapore Pulau Tekong Ferry Terminal";"1.3877599,103.99970580000002"
"Singapore Tekong Canteen";"1.4142719,104.03867289999994"
"Singapore BMTC School 3, Viper Coy";"1.4073389,104.02915689999998"
"Singapore BMTC School 3 Ulysses Company";"1.4073389,104.02915689999998"
"Singapore BMTC School 2 Kestrel Company";"1.4073389,104.02915689999998"
"Singapore Pulau Tekong Medical Centre";"1.4073389,104.02915689999998"
"Singapore Bmtc School 3 Taurus Coy";"1.4073389,104.02915689999998"
"Singapore Tekong Island";"1.4142719,104.03867289999994"
"Singapore Pulau Tekong - BMTC School 1 Falcon Coy";"1.4073389,104.02915689999998"
"Singapore Saf Bmtc @ Pulau Tekong";"1.4073389,104.02915689999998"
"Singapore BMTC School 2 Orion Company";"1.4073389,104.02915689999998"
"Singapore Pulau Tekong BMTC School 1 Cougar Coy";"1.4073389,104.02915689999998"
"Singapore Tekong Resort";"1.3919813,103.98359749999997"
"Singapore Bmtc School 1 Dragon Coy.";"1.4073389,104.02915689999998"
"Singapore BMTC School 3 : Scorpion Coy";"1.4073389,104.02915689999998"
"Singapore Pulau Tekong, BMTC School 2, Leopard Company";"1.4073389,104.02915689999998"
"Singapore Pulau Sejahat";"1.4011111,104.02194439999994"
"Singapore Bmtc School 1. Bronco Coy";"1.4073389,104.02915689999998"
"Singapore Bmtc School 1. Apache Coy";"1.4073389,104.02915689999998"
"Singapore Pulau Tekong BMTC Scorpion Coy";"1.4073389,104.02915689999998"
"Singapore BMTC School 1";"1.4073389,104.02915689999998"
"Singapore BMTC School 1 Falcon Company";"1.4073389,104.02915689999998"
"Singapore BMTC SCHOOL 2 Mohawk Coy";"1.4073389,104.02915689999998"
"Singapore Bmtc School 2 Ninja Coy";"1.4073389,104.02915689999998"
"Singapore Bmtc School 1 Eagle Coy";"1.4073389,104.02915689999998"
"Singapore BMTC School 1 Gryphon Coy";"1.4073389,104.02915689999998"
" ERROR! Input:Singapore Tekong Resort World"
"Singapore Pulau Tekong Ladang Camp";"1.4142719,104.03867289999994"
"Singapore Viper Company";"1.326293,103.89614499999993"
"Singapore BMTC School 2 Jaguar Company";"1.4073389,104.02915689999998"
